startdate,monthnum,monthnam,daymonth,dayyear,starttime,starttime24,daysleepstart,enddate,endtime,endtime24,daysleepend,asleepmin,awakemin,awakenings,timeinbed,Day Sleep Counted For,schoolnight,weekend,restday
1/1/2018,1,January,1,1,1:34 AM,1:34,Monday,1/1/2018,10:47 AM,10:47,Monday,498,55,5,553,Sunday,1,1,1
1/2/2018,1,January,2,2,12:59 AM,0:59,Tuesday,1/2/2018,6:37 AM,6:37,Tuesday,323,15,0,338,Monday,1,0,0
1/2/2018,1,January,2,2,11:35 PM,23:35,Tuesday,1/3/2018,7:37 AM,7:37,Wednesday,435,46,2,481,Tuesday,1,0,0
1/4/2018,1,January,4,4,1:16 AM,1:16,Thursday,1/4/2018,8:48 AM,8:48,Thursday,435,17,2,452,Wednesday,1,0,0
1/5/2018,1,January,5,5,1:29 AM,1:29,Friday,1/5/2018,7:41 AM,7:41,Friday,353,19,1,372,Thursday,1,0,0
1/6/2018,1,January,6,6,1:30 AM,1:30,Saturday,1/6/2018,10:15 AM,10:15,Saturday,498,26,0,524,Friday,0,0,1
1/7/2018,1,January,7,7,1:24 AM,1:24,Sunday,1/7/2018,10:48 AM,10:48,Sunday,521,29,2,564,Saturday,0,1,1
1/7/2018,1,January,7,7,11:40 PM,23:40,Sunday,1/8/2018,7:55 AM,7:55,Monday,466,28,0,494,Sunday,1,1,1
1/9/2018,1,January,9,9,1:24 AM,1:24,Tuesday,1/9/2018,8:46 AM,8:46,Tuesday,427,15,0,442,Monday,1,0,0
1/10/2018,1,January,10,10,1:10 AM,1:10,Wednesday,1/10/2018,8:04 AM,8:04,Wednesday,410,3,0,413,Tuesday,1,0,0
1/11/2018,1,January,11,11,12:05 AM,0:05,Thursday,1/11/2018,8:46 AM,8:46,Thursday,510,11,0,521,Wednesday,1,0,0
1/12/2018,1,January,12,12,2:01 AM,2:01,Friday,1/12/2018,8:56 AM,8:56,Friday,394,20,0,414,Thursday,1,0,0
1/13/2018,1,January,13,13,12:26 AM,0:26,Saturday,1/13/2018,9:46 AM,9:46,Saturday,533,27,0,560,Friday,0,0,1
1/14/2018,1,January,14,14,1:41 AM,1:41,Sunday,1/14/2018,9:33 AM,9:33,Sunday,444,28,1,472,Saturday,0,1,1
1/15/2018,1,January,15,15,2:30 AM,2:30,Monday,1/15/2018,9:28 AM,9:28,Monday,407,7,0,417,Sunday,1,1,1
1/16/2018,1,January,16,16,12:41 AM,0:41,Tuesday,1/16/2018,8:02 AM,8:02,Tuesday,431,9,0,440,Monday,1,0,0
1/16/2018,1,January,16,16,11:54 PM,23:54,Tuesday,1/17/2018,9:09 AM,9:09,Wednesday,537,18,1,555,Tuesday,1,0,0
1/18/2018,1,January,18,18,1:44 AM,1:44,Thursday,1/18/2018,6:38 AM,6:38,Thursday,279,15,1,294,Wednesday,1,0,0
1/19/2018,1,January,19,19,2:09 AM,2:09,Friday,1/19/2018,8:56 AM,8:56,Friday,391,16,0,407,Thursday,1,0,0
1/20/2018,1,January,20,20,1:43 AM,1:43,Saturday,1/20/2018,9:54 AM,9:54,Saturday,472,19,0,491,Friday,0,0,1
1/21/2018,1,January,21,21,1:53 AM,1:53,Sunday,1/21/2018,10:25 AM,10:25,Sunday,488,24,1,512,Saturday,0,1,1
1/22/2018,1,January,22,22,3:05 AM,3:05,Monday,1/22/2018,8:55 AM,8:55,Monday,333,17,0,350,Sunday,1,1,1
1/23/2018,1,January,23,23,2:16 AM,2:16,Tuesday,1/23/2018,8:59 AM,8:59,Tuesday,393,10,1,403,Monday,1,0,0
1/24/2018,1,January,24,24,1:23 AM,1:23,Wednesday,1/24/2018,9:43 AM,9:43,Wednesday,481,19,0,500,Tuesday,1,0,0
1/25/2018,1,January,25,25,12:41 AM,0:41,Thursday,1/25/2018,8:43 AM,8:43,Thursday,469,13,0,482,Wednesday,1,0,0
1/26/2018,1,January,26,26,2:21 AM,2:21,Friday,1/26/2018,8:40 AM,8:40,Friday,363,16,1,379,Thursday,1,0,0
1/27/2018,1,January,27,27,3:12 AM,3:12,Saturday,1/27/2018,11:12 AM,11:12,Saturday,480,0,0,480,Friday,0,0,1
1/28/2018,1,January,28,28,2:42 AM,2:42,Sunday,1/28/2018,10:40 AM,10:40,Sunday,467,9,1,478,Saturday,0,1,1
1/29/2018,1,January,29,29,2:27 AM,2:27,Monday,1/29/2018,10:26 AM,10:26,Monday,455,23,1,479,Sunday,1,1,1
1/30/2018,1,January,30,30,1:05 AM,1:05,Tuesday,1/30/2018,8:24 AM,8:24,Tuesday,428,11,0,439,Monday,1,0,0
1/31/2018,1,January,31,31,1:05 AM,1:05,Wednesday,1/31/2018,7:59 AM,7:59,Wednesday,398,16,0,414,Tuesday,1,0,0
2/1/2018,2,February,1,32,2:08 AM,2:08,Thursday,2/1/2018,9:38 AM,9:38,Thursday,438,12,0,450,Wednesday,1,0,0
2/2/2018,2,February,2,33,1:51 AM,1:51,Friday,2/2/2018,7:58 AM,7:58,Friday,349,18,1,367,Thursday,1,0,0
2/3/2018,2,February,3,34,1:00 AM,1:00,Saturday,2/3/2018,10:05 AM,10:05,Saturday,538,3,0,545,Friday,0,0,1
2/4/2018,2,February,4,35,2:06 AM,2:06,Sunday,2/4/2018,10:39 AM,10:39,Sunday,492,21,1,513,Saturday,0,1,1
